timestamp,gas_value,fan_on
2025-12-10T16:11:09.668555,35,0
2025-12-10T16:11:10.169817,31,0
2025-12-10T16:11:10.670852,29,0
2025-12-10T16:11:11.171852,28,0
2025-12-10T16:11:11.672907,28,0
2025-12-10T16:11:12.173907,27,0
2025-12-10T16:11:12.674904,27,0
2025-12-10T16:11:13.176127,27,0
2025-12-10T16:11:13.679616,27,0
2025-12-10T16:11:14.180635,26,0
2025-12-10T16:11:14.681659,27,0
2025-12-10T16:11:15.182731,26,0
2025-12-10T16:11:15.683999,26,0
2025-12-10T16:11:16.185003,26,0
2025-12-10T16:11:16.686022,26,0
2025-12-10T16:11:17.187022,26,0
2025-12-10T16:11:17.688012,26,0
2025-12-10T16:11:18.189030,26,0
2025-12-10T16:11:18.691586,26,0
2025-12-10T16:11:19.192589,26,0
2025-12-10T16:11:19.693582,26,0
2025-12-10T16:11:20.194582,26,0
2025-12-10T16:11:20.695647,26,0
2025-12-10T16:11:21.196897,26,0
2025-12-10T16:11:21.697875,26,0
2025-12-10T16:11:22.198863,26,0
2025-12-10T16:11:22.699860,26,0
2025-12-10T16:11:23.200859,26,0
2025-12-10T16:11:23.703370,26,0
2025-12-10T16:11:24.204367,26,0
2025-12-10T16:11:24.705379,26,0
2025-12-10T16:11:25.206380,26,0
2025-12-10T16:11:25.707405,26,0
2025-12-10T16:11:26.208485,26,0
2025-12-10T16:11:26.709723,26,0
2025-12-10T16:11:27.210732,26,0
2025-12-10T16:11:27.711737,26,0
2025-12-10T16:11:28.212767,26,0
2025-12-10T16:11:28.716132,26,0
2025-12-10T16:11:29.217161,26,0
2025-12-10T16:11:29.718170,26,0
2025-12-10T16:11:30.219171,26,0
2025-12-10T16:11:30.720172,26,0
2025-12-10T16:11:31.221187,26,0
2025-12-10T16:11:31.722268,26,0
2025-12-10T16:11:32.223505,26,0
2025-12-10T16:11:32.724535,26,0
2025-12-10T16:11:33.225516,26,0
2025-12-10T16:11:33.729314,26,0
2025-12-10T16:11:34.230320,26,0
2025-12-10T16:11:34.731320,26,0
2025-12-10T16:11:35.232327,26,0
2025-12-10T16:11:35.733336,26,0
2025-12-10T16:11:36.234348,26,0
2025-12-10T16:11:36.735359,26,0
2025-12-10T16:11:37.236444,26,0
2025-12-10T16:11:37.737697,26,0
2025-12-10T16:11:38.238725,26,0
2025-12-10T16:11:38.741976,26,0
2025-12-10T16:11:39.242987,57,0
2025-12-10T16:11:39.743990,181,0
2025-12-10T16:11:40.245028,408,1
2025-12-10T16:11:40.746040,612,1
2025-12-10T16:11:41.247038,648,1
2025-12-10T16:11:41.748057,625,1
2025-12-10T16:11:42.249091,617,1
2025-12-10T16:11:42.750204,610,1
2025-12-10T16:11:43.251458,556,1
2025-12-10T16:11:43.754021,455,1
2025-12-10T16:11:44.255023,374,1
2025-12-10T16:11:44.756039,312,1
2025-12-10T16:11:45.257059,264,0
2025-12-10T16:11:45.758072,228,0
2025-12-10T16:11:46.259108,200,0
2025-12-10T16:11:46.760098,179,0
2025-12-10T16:11:47.261136,163,0
2025-12-10T16:11:47.762141,149,0
2025-12-10T16:11:48.263212,139,0
2025-12-10T16:11:48.767958,133,0
2025-12-10T16:11:49.268980,126,0
2025-12-10T16:11:49.769978,120,0
2025-12-10T16:11:50.271260,117,0
2025-12-10T16:11:50.773039,114,0
2025-12-10T16:11:51.274773,111,0
2025-12-10T16:12:28.934340,62,0
2025-12-10T16:12:29.435249,63,0
2025-12-10T16:12:29.936377,62,0
2025-12-10T16:12:30.437662,62,0
2025-12-10T16:12:30.938653,62,0
2025-12-10T16:12:31.439654,62,0
2025-12-10T16:12:31.940691,62,0
2025-12-10T16:12:32.441689,62,0
2025-12-10T16:12:32.942660,62,0
2025-12-10T16:12:33.443654,62,0
2025-12-10T16:12:33.944689,62,0
2025-12-10T16:12:34.445691,63,0
2025-12-10T16:12:34.946687,143,0
2025-12-10T16:12:35.449331,398,1
2025-12-10T16:12:35.950567,536,1
2025-12-10T16:12:36.451576,611,1
2025-12-10T16:12:36.952552,656,1
2025-12-10T16:12:37.453530,700,1
2025-12-10T16:12:37.954518,751,1
2025-12-10T16:12:38.455511,806,1
2025-12-10T16:12:38.956510,855,1
2025-12-10T16:12:39.457514,895,1
2025-12-10T16:12:39.958539,935,1
2025-12-10T16:12:40.463091,951,1
2025-12-10T16:12:40.964184,1006,1
2025-12-10T16:12:41.465445,1012,1
2025-12-10T16:12:41.966461,679,1
2025-12-10T16:12:42.467472,576,1
2025-12-10T16:12:42.968494,500,1
2025-12-10T16:12:43.469494,435,1
2025-12-10T16:12:43.970505,375,1
2025-12-10T16:12:44.471527,319,1
2025-12-10T16:12:44.972550,280,0
2025-12-10T16:12:45.475142,243,0
2025-12-10T16:12:45.976119,220,0
2025-12-10T16:12:46.477189,199,0
2025-12-10T16:12:46.978434,184,0
2025-12-10T16:12:47.479434,172,0
2025-12-10T16:12:47.980420,163,0
2025-12-10T16:12:48.481408,155,0
2025-12-10T16:12:48.982414,148,0
2025-12-10T16:12:49.483415,144,0
2025-12-10T16:12:49.984432,139,0
2025-12-10T16:12:50.488188,137,0
2025-12-10T16:12:50.989200,133,0
2025-12-10T16:12:51.490196,130,0
2025-12-10T16:12:51.991261,127,0
2025-12-10T16:12:52.492512,125,0
2025-12-10T16:12:52.993515,124,0
2025-12-10T16:12:53.494553,122,0
2025-12-10T16:12:53.995558,121,0
2025-12-10T16:12:54.496568,119,0
2025-12-10T16:12:54.997571,117,0
2025-12-10T16:12:55.500133,116,0
2025-12-10T16:12:56.001172,116,0
2025-12-10T16:12:56.502152,115,0
2025-12-10T16:12:57.003145,114,0
2025-12-10T16:12:57.504209,112,0
2025-12-10T16:12:58.005473,111,0
2025-12-10T16:12:58.506460,110,0
2025-12-10T16:12:59.007460,109,0
2025-12-10T16:12:59.508448,108,0
2025-12-10T16:13:00.009440,108,0
2025-12-10T16:13:00.513990,107,0
2025-12-10T16:13:01.015000,107,0
2025-12-10T16:13:01.515997,105,0
2025-12-10T16:13:02.017016,105,0
2025-12-10T16:13:02.518016,105,0
2025-12-10T16:13:03.019074,104,0
2025-12-10T16:13:03.520352,102,0
2025-12-10T16:13:04.021359,103,0
2025-12-10T16:13:04.522347,102,0
2025-12-10T16:13:05.023352,101,0
2025-12-10T16:13:05.526677,100,0
2025-12-10T16:13:06.027677,100,0
2025-12-10T16:13:06.528690,100,0
2025-12-10T16:13:07.029711,98,0
2025-12-10T16:13:07.530705,98,0
2025-12-10T16:13:08.031728,98,0
2025-12-10T16:13:08.532813,97,0
2025-12-10T16:13:09.034055,96,0
2025-12-10T16:13:09.535065,96,0
2025-12-10T16:13:10.036083,96,0
2025-12-10T16:13:10.540651,96,0
2025-12-10T16:13:11.041640,95,0
2025-12-10T16:13:11.542655,94,0
2025-12-10T16:13:12.043656,95,0
2025-12-10T16:13:12.544681,93,0
2025-12-10T16:13:13.045677,93,0
2025-12-10T16:13:13.546677,93,0
2025-12-10T16:13:14.047751,93,0
2025-12-10T16:13:14.549012,93,0
2025-12-10T16:13:15.050013,92,0
2025-12-10T16:13:15.552579,92,0
2025-12-10T16:13:16.053592,91,0
2025-12-10T16:13:16.554588,91,0
2025-12-10T16:13:17.055612,91,0
2025-12-10T16:13:17.556635,90,0
